Date,Open,High,Low,Close,Volume
2020-01-01,150.09,151.69,149.06,150.99,1516394
2020-01-02,149.9,152.67,150.61,150.72,4774159
2020-01-03,152.09,153.29,151.0,152.01,3090825
2020-01-06,155.92,156.7,153.62,155.06,1520112
2020-01-07,154.73,154.86,152.86,154.59,4290303
2020-01-08,152.54,155.85,153.76,154.12,2103519
2020-01-09,156.48,159.13,155.68,157.28,4221567
2020-01-10,158.74,159.79,157.71,158.82,3704114
2020-01-13,157.8,159.09,157.08,157.88,3646785
2020-01-14,160.93,160.49,158.7,158.96,2298071
2020-01-15,156.65,158.38,156.3,158.03,2098966
2020-01-16,157.61,158.11,156.79,157.1,4896129
2020-01-17,159.08,158.38,156.97,157.59,3418853
2020-01-20,156.03,154.05,153.18,153.76,4079710
2020-01-21,149.91,151.05,148.57,150.31,2050482
2020-01-22,149.68,149.32,147.84,149.19,4054823
2020-01-23,147.73,147.21,145.57,147.16,1532249
2020-01-24,147.98,148.06,147.29,147.79,4302940
2020-01-27,145.87,147.9,144.72,145.97,3090178
2020-01-28,143.58,144.25,142.0,143.15,4002873
2020-01-29,143.55,148.01,144.41,146.08,1189773
2020-01-30,146.31,146.49,143.82,145.63,4485439
2020-01-31,145.89,146.39,145.74,145.76,1342808
2020-02-03,142.69,143.93,141.57,142.91,2129775
2020-02-04,143.87,142.7,141.72,141.82,4930944
2020-02-05,141.37,142.26,140.95,142.05,3196916
2020-02-06,139.34,141.03,139.17,139.74,3047298
2020-02-07,142.49,140.93,139.88,140.5,2170933
2020-02-10,138.46,140.53,138.59,139.29,2391449
2020-02-11,138.16,140.01,137.47,138.71,3518929
2020-02-12,137.36,137.81,136.84,137.51,3409864
2020-02-13,142.05,141.34,139.75,141.21,3992933
2020-02-14,141.39,142.75,140.38,141.19,1859734
2020-02-17,137.78,139.99,138.93,139.07,2012884
2020-02-18,140.18,140.83,139.15,140.72,2667832
2020-02-19,137.67,140.26,137.7,138.27,3257728
2020-02-20,138.61,138.81,137.83,138.69,2872154
2020-02-21,135.2,136.16,133.4,134.77,4710313
2020-02-24,132.53,134.08,131.45,132.12,3707834
2020-02-25,130.73,132.99,132.4,132.51,1913605
2020-02-26,135.05,134.27,133.24,133.99,4009526
2020-02-27,134.58,134.57,132.44,134.33,2510399
2020-02-28,135.48,134.7,132.81,134.1,1016939
2020-03-02,133.94,133.7,132.15,133.5,3056547
